Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.84789,-0.477245,-0.205985,-0.00214492,0.00129099,4.75552e-05,-8.56013e-06,-6.11525e-14,5.24602e-15,3.28224,-0.0853513,-0.0559524,0.000140787,0.000670041,-4.90618e-05,-7.61197e-14,6.52516e-15,0.1,2.46704e-18,2.94088e-18,-9.02157e-19,0,0,0,-2.71051e-20,0,0,0,0,0,0,0,0
5.42391,-1.22485,-0.163693,0.0121056,0.000755506,-0.000117137,3.73888e-06,-1.87353e-13,1.13633e-14,2.2389,-0.410776,-0.0227543,0.00318956,-0.00027388,1.07959e-05,-2.32093e-13,1.40762e-14,0.1,-4.53444e-18,-3.81301e-20,-1.81245e-19,0,-2.1684e-19,5.42101e-20,0,0,0,0,0,0,0,0,0
7.15564,-1.71985,-0.0242797,0.00968873,-0.000685924,-1.57403e-05,4.06042e-06,-7.07267e-13,3.25461e-14,-0.335937,-0.504201,-0.00197157,0.000423575,1.89e-05,-2.84698e-06,-8.75908e-13,4.03066e-14,0.1,6.87242e-18,1.22665e-18,-7.36325e-19,0,5.42101e-20,-6.77626e-21,0,0,0,0,0,0,0,0,0
6.86125,-1.6139,0.039173,0.00500539,0.000942614,0.000129534,-1.13678e-05,-7.94353e-12,3.83126e-13,-3.89344,-0.476973,0.00249664,-0.000493203,-8.29601e-05,1.44321e-05,-9.83754e-12,4.74476e-13,0.1,2.5761e-18,2.40417e-18,4.24241e-20,-2.1684e-19,0,0,8.47033e-22,0,0,0,0,0,0,0,0
4.63392,-0.690806,0.282378,0.0242775,-0.000853925,-0.000260457,1.76607e-05,-3.09256e-10,2.22112e-11,-7.17224,-0.459631,0.0155281,0.00402411,0.000412147,-4.95306e-05,-3.82987e-10,2.75067e-11,0.1,-1.46948e-17,8.22171e-19,1.99605e-18,0,0,0,0,0,0,0,0,0,0,0,0
5.90854,0.971691,0.389415,-0.0035784,-0.0018896,0.00014868,-4.24079e-06,-1.37337e-09,7.65851e-11,-8.48407,-0.00664022,0.0752841,0.00102741,-0.000735525,3.4692e-05,-1.70079e-09,9.48438e-11,0.1,1.24986e-17,1.62914e-18,-6.82384e-19,-4.33681e-19,0,0,1.69407e-21,0,0,0,0,0,0,0,0
12.5817,2.9085,0.246022,-0.0146905,0.00014144,2.30773e-05,-6.92516e-07,-1.06793e-09,2.77628e-11,-6.32981,0.59509,0.010972,-0.00424778,0.000288978,-5.93381e-06,-1.32254e-09,3.43817e-11,0.1,-1.71103e-17,-2.1799e-18,3.75608e-19,2.71051e-20,-1.01644e-20,6.35275e-22,-1.32349e-23,0,0,0,0,0,0,0,0
17.8949,4.31718,0.0393618,-0.0014433,0.000188407,-2.17921e-05,5.19963e-07,-3.0578e-09,5.61995e-11,-0.198825,0.411107,0.00665726,0.000879825,-8.5926e-05,1.80479e-06,-3.78681e-09,6.95979e-11,0.1,2.04858e-17,-2.2751e-19,-2.25033e-19,1.35525e-20,0,0,-4.1359e-25,0,0,0,0,0,0,0,0
17.9794,4.29112,-0.0849562,-0.00594091,0.000144853,1.55852e-05,-2.39431e-07,-2.91028e-08,5.35256e-10,8.74857,0.424697,-0.0109254,0.000324482,6.42296e-05,-1.67254e-06,-3.60412e-08,6.62866e-10,0.1,-9.27439e-18,4.58644e-19,2.20352e-20,0,0,0,0,0,0,0,0,0,0,0,0
11.8024,2.20585,-0.122385,-0.00631405,-0.00093356,-0.000128477,1.98235e-05,-1.24886e-06,3.52324e-08,17.4931,0.716305,0.00360581,-0.00222799,-0.000237878,2.79004e-05,-1.5466e-06,4.36321e-08,0.1,1.94557e-18,-6.5734e-19,-2.35081e-20,0,6.77626e-21,0,0,0,0,0,0,0,0,0,0
13.0447,-1.85764,-0.632608,-0.0148889,0.00347824,-0.000512274,0.000113035,-9.02325e-06,2.28418e-07,21.7719,-0.286719,-0.0557129,0.00418435,-0.000515441,0.000136409,-1.11745e-05,2.82875e-07,0.1,1.73242e-18,1.24626e-20,-1.14128e-19,2.71051e-20,0,0,0,0,0,0,0,0,0,0,0
